Code,Actual,Predicted,Error,AbsoluteError,SquaredError
SURI,7.0588235294117645,42.96419582511068,-35.90537229569891,35.90537229569891,1289.1957596927427
AYAM,82.0,43.816265949701545,38.183734050298455,38.183734050298455,1457.9975460239216
MSTI,8.118081180811808,19.53883905171721,-11.420757870905403,11.420757870905403,130.43371034584771
IKPM,12.727272727272728,41.49699190290983,-28.769719175637107,28.769719175637107,827.6967414450214
RGAS,4.166666666666666,42.53566362457605,-38.36899695790939,38.36899695790939,1472.17992755606
UDNG,21.0,15.701729212158885,5.2982707878411155,5.2982707878411155,28.071673341290516
LOPI,-19.0,12.527951498536398,-31.527951498536396,31.527951498536396,994.0117256940633
PTPS,-34.84848484848485,37.30839083741597,-72.15687568590081,72.15687568590081,5206.614708750544
KOKA,35.9375,47.56089222555587,-11.623392225555868,11.623392225555868,135.1032468291126
BREN,55.76923076923077,24.565715339979683,31.203515429251084,31.203515429251084,973.6593751435105
IOTF,57.99999999999999,42.4304702864628,15.569529713537193,15.569529713537193,242.41025550071754
KOCI,-28.33333333333333,31.00371919437042,-59.33705252770375,59.33705252770375,3520.8858026754738
STRK,82.0,34.04538083528784,47.95461916471216,47.95461916471216,2299.645499232579
AEGS,-5.0,20.340433908141442,-25.340433908141442,25.340433908141442,642.1375906528846
BABY,15.037593984962406,40.241600403274454,-25.204006418312048,25.204006418312048,635.241939534315
RSCH,23.47826086956522,44.26137667769746,-20.783115808132244,20.783115808132244,431.9379026942364
LMAX,15.0,10.233462100345786,4.766537899654214,4.766537899654214,22.719883548840006
GRIA,6.666666666666667,53.90671775072576,-47.2400510840591,47.2400510840591,2231.622426424513
FOLK,14.000000000000002,34.27432723245315,-20.274327232453153,20.274327232453153,411.04834472859153
PPRI,6.428571428571428,44.94646933925007,-38.51789791067864,38.51789791067864,1483.628459457462
CYBR,82.0,34.285713904833976,47.714286095166024,47.714286095166024,2276.6530975713536
HUMI,7.000000000000001,45.69753896650137,-38.69753896650137,38.69753896650137,1497.4995220638918
MSIE,-19.0,12.457091331391867,-31.457091331391865,31.457091331391865,989.5485950315292
ERAL,4.615384615384616,45.188998186849155,-40.57361357146454,40.57361357146454,1646.2181182465317
HBAT,-16.666666666666664,10.757734025071077,-27.42440069173774,27.42440069173774,752.0977533009855
MUTU,73.14814814814815,44.31095240316463,28.837195744983525,28.837195744983525,831.5838584344959
CNMA,25.925925925925924,43.066074169479215,-17.14014824355329,17.14014824355329,293.784681810983
RMKO,55.55555555555556,34.30001368225764,21.255541873297915,21.255541873297915,451.79806032752106
MAHA,81.35593220338984,57.041070798634635,24.314861404755206,24.314861404755206,591.2124851324543
INET,81.1881188118812,42.20915955928594,38.97895925259525,38.97895925259525,1519.359264415481
TGUK,80.9090909090909,46.31068428116455,34.59840662792636,34.59840662792636,1197.0497411913386
CRSN,16.0,42.4783942459565,-26.4783942459565,26.4783942459565,701.1053618443024
WIDI,21.0,13.37508734758173,7.624912652418271,7.624912652418271,58.13929295700823
GRPM,-18.33333333333333,5.8199493675891,-24.15328270092243,24.15328270092243,583.3810652306786
AMMN,4.129793510324483,10.232287909109694,-6.10249439878521,6.10249439878521,37.24043788720486
VKTR,18.0,42.26178686340766,-24.261786863407657,24.261786863407657,588.6343018054204
RELF,20.0,9.492615359961302,10.507384640038698,10.507384640038698,110.40513197372115
KLAS,63.013698630136986,46.583809616713154,16.429889013423832,16.429889013423832,269.94125299342517
MAXI,-22.0,34.21207820327467,-56.21207820327467,56.21207820327467,3159.7977359310676
MPXL,80.55555555555556,34.66961770210194,45.88593785345362,45.88593785345362,2105.5192926910076
JATI,82.0,40.97929474440887,41.02070525559113,41.02070525559113,1682.6982596660819
RAAM,55.55555555555556,47.28744607861888,8.26810947693668,8.26810947693668,68.36163432261013
DOOH,14.000000000000002,40.56755818364867,-26.56755818364867,26.56755818364867,705.8351478415575
TYRE,71.01449275362319,37.98694738272141,33.02754537090178,33.02754537090178,1090.8187532269753
SMIL,82.0,53.34316879395257,28.65683120604743,28.65683120604743,821.2139747718937
AWAN,82.0,44.1095038643004,37.8904961356996,37.8904961356996,1435.6896974094664
MENN,-17.94871794871795,16.153158316465987,-34.10187626518393,34.10187626518393,1162.9379648059153
PIPA,80.95238095238095,38.078176887721135,42.874204064659814,42.874204064659814,1838.197374178092
NCKL,8.4,22.73880269324246,-14.338802693242458,14.338802693242458,205.6012626757372
GTRA,68.0,42.96692520541728,25.033074794582717,25.033074794582717,626.6548336711726
