Code,Actual,Predicted,Error,AbsoluteError,SquaredError
INET,84.15841584158416,16.398363095238096,67.76005274634606,67.76005274634606,4591.424748187601
TGUK,24.545454545454547,16.398363095238096,8.14709145021645,8.14709145021645,66.37509909818999
CRSN,-5.6000000000000005,16.198363095238093,-21.798363095238095,21.798363095238095,475.16863363183813
WIDI,20.0,16.398363095238096,3.6016369047619037,3.6016369047619037,12.971788393742907
GRPM,-25.833333333333336,16.298363095238095,-42.13169642857143,42.13169642857143,1775.0798439492987
AMMN,4.129793510324483,16.298363095238095,-12.168569584913612,12.168569584913612,148.07408574288465
VKTR,13.0,16.298363095238095,-3.298363095238095,3.298363095238095,10.879199108028626
RELF,43.333333333333336,16.298363095238095,27.03497023809524,27.03497023809524,730.8896157746955
KLAS,-8.21917808219178,16.298363095238095,-24.517541177429877,24.517541177429877,601.1098253869695
MAXI,-38.0,16.19836309521904,-54.19836309521904,54.19836309521904,2937.462562201201
MPXL,19.444444444444446,16.398363095238093,3.0460813492063537,3.0460813492063537,9.2786115859828
JATI,114.0,16.398363095238096,97.6016369047619,97.6016369047619,9526.07952648898
RAAM,141.45299145299143,16.398363095238096,125.05462835775333,125.05462835775333,15638.660073695803
DOOH,-6.0,16.198363095238093,-22.198363095238093,22.198363095238093,492.76732410802856
TYRE,8.695652173913043,16.198363095238093,-7.5027109213250505,7.5027109213250505,56.290671168970185
SMIL,59.0,16.298363095238095,42.701636904761905,42.701636904761905,1823.4297943461238
AWAN,204.0,16.398363095238096,187.6016369047619,187.6016369047619,35194.37416934613
MENN,-32.05128205128205,16.298363095238095,-48.349645146520146,48.349645146520146,2337.688185794419
PIPA,71.42857142857143,16.398363095238096,55.030208333333334,55.030208333333334,3028.3238292100696
NCKL,12.0,16.198363095238093,-4.1983630952380935,4.1983630952380935,17.626252679457185
GTRA,70.66666666666667,16.398363095238096,54.268303571428575,54.268303571428575,2945.0487725207277
HAJJ,38.57142857142858,16.298363095238095,22.27306547619048,22.27306547619048,496.0894457066683
NSSS,4.724409448818897,16.198363095238093,-11.473953646419197,11.473953646419197,131.65161228017638
CUAN,140.9090909090909,16.398363095238096,124.51072781385281,124.51072781385281,15502.92134073534
SAGE,50.0,16.398363095238096,33.601636904761904,33.601636904761904,1129.070002679457
TRON,47.77777777777778,16.398363095238096,31.379414682539682,31.379414682539682,984.667665818787
PTMP,15.833333333333332,16.198363095238093,-0.36502976190476133,0.36502976190476133,0.13324672707624674
BDKR,15.0,16.198363095238093,-1.1983630952380935,1.1983630952380935,1.436074108028624
FUTR,52.0,16.398363095238096,35.601636904761904,35.601636904761904,1267.4765502985047
PGEO,-4.571428571428571,16.198363095238093,-20.769791666666663,20.769791666666663,431.384245876736
KING,-19.230769230769237,16.198363095238093,-35.429132326007334,35.429132326007334,1255.223417373738
CHIP,45.0,16.398363095238096,28.601636904761904,28.601636904761904,818.0536336318381
HALO,22.0,16.398363095238096,5.601636904761904,5.601636904761904,31.37833601279052
VAST,3.7037037037037033,16.198363095238093,-12.494659391534391,12.494659391534391,156.11651331045857
HILL,24.8,16.298363095238095,8.501636904761906,8.501636904761906,72.2778300604096
PACK,-30.8641975308642,16.198363095238093,-47.0625606261023,47.0625606261023,2214.884612685554
IRSX,-7.920792079207921,16.19836309521904,-24.11915517442696,24.11915517442696,581.7336463280868
FWCT,9.322033898305085,16.298363095238095,-6.97632919693301,6.97632919693301,48.66916906397998
NAYZ,-25.0,16.198363095238093,-41.19836309523809,41.19836309523809,1697.305121727076
PEVE,54.36241610738255,16.298363095238095,38.064053012144456,38.064053012144456,1448.8721317113434
LAJU,31.0,16.398363095231005,14.601636904768995,14.601636904768995,213.20780029871187
BMBL,-33.51063829787234,16.198363095238093,-49.709001393110434,49.709001393110434,2470.984819500255
CBPE,28.000000000000004,16.398363095238096,11.601636904761907,11.601636904761907,134.59797886993346
SOUL,-33.63636363636363,16.198363095238093,-49.83472673160173,49.83472673160173,2483.4999884134195
SUNI,0.6666666666666667,16.198363095238093,-15.531696428571427,15.531696428571427,241.23359394929844
WINE,151.1627906976744,16.398363095238096,134.7644276024363,134.7644276024363,18161.450947012298
ELIT,39.16666666666666,16.398363095238096,22.76830357142856,22.76830357142856,518.3956475207266
BEER,19.090909090909093,16.398363095238096,2.692545995670997,2.692545995670997,7.249803938803922
CBRE,57.407407407407405,16.398363095238096,41.00904431216931,41.00904431216931,1681.741715397466
VTNY,8.333333333333332,16.198363095238093,-7.865029761904761,7.865029761904761,61.858693155647664
PADA,-3.0,16.298363095238095,-19.298363095238095,19.298363095238095,372.42681815564765
MMIX,24.210526315789476,16.398363095238096,7.81216322055138,7.81216322055138,61.029894184535706
ISAP,-32.29166666666667,16.298363095238095,-48.590029761904766,48.590029761904766,2360.9909922627908
BELI,7.555555555555555,16.298363095238095,-8.74280753968254,8.74280753968254,76.43668367592986
KETR,-2.0,16.298363095238095,-18.298363095238095,18.298363095238095,334.83009196517145
ZATA,202.0,16.398363095238096,185.6016369047619,185.6016369047619,34447.967621727075
KDTN,10.0,16.198363095238093,-6.1983630952380935,6.1983630952380935,38.41970506040956
NINE,-30.666666666666664,16.298363095238095,-46.96502976190476,46.96502976190476,2205.7140205366
MKTR,5.0,16.298363095238095,-11.298363095238095,11.298363095238095,127.65300863183815
PRAY,-18.33333333333333,16.198363095238093,-34.53169642857142,34.53169642857142,1192.4380582350122
CBUT,24.637681159420293,16.398363095238096,8.239318064182196,8.239318064182196,67.88636216275906
PDPP,-10.67668914794922,16.298363095238095,-26.975052243187314,26.975052243187314,727.6534435226849
BSBK,190.0,16.298363095238095,173.7016369047619,173.7016369047619,30172.25866339374
OMED,23.52941176470588,16.398363095238096,7.131048669467784,7.131048669467784,50.851855126318256
